date,region,product,quantity,amount
2024-01-05,North,Laptop,2,2400
2024-01-06,North,Laptop,1,1200
2024-01-07,South,Mouse,10,250
2024-01-08,East,Keyboard,5,350
2024-01-09,West,Laptop,2,2400
2024-01-12,North,Monitor,3,900
2024-01-15,South,Keyboard,8,560
2024-01-20,East,Mouse,15,375
2024-01-22,West,Monitor,2,600
2024-01-26,North,Laptop,3,3600
2024-02-02,South,Laptop,2,2400
2024-02-05,East,Monitor,3,900
2024-02-08,West,Keyboard,9,630
2024-02-12,North,Mouse,20,500
2024-02-15,South,Monitor,5,1500
2024-02-18,East,Laptop,3,3600
2024-02-22,West,Mouse,18,450
2024-02-26,North,Keyboard,6,420
2024-03-01,South,Keyboard,4,280
2024-03-04,East,Mouse,12,300
2024-03-07,West,Laptop,1,1200
2024-03-10,North,Monitor,2,600
2024-03-14,South,Laptop,2,2400
2024-03-18,East,Keyboard,7,490
2024-03-21,West,Monitor,5,1500
2024-03-25,North,Mouse,14,350
2024-03-28,South,Keyboard,9,630
2024-04-01,East,Laptop,2,2400
2024-04-05,West,Monitor,3,900
2024-04-08,North,Keyboard,5,350
2024-04-12,South,Mouse,16,400
2024-04-15,East,Monitor,4,1200
2024-04-19,West,Laptop,4,4800
2024-04-22,North,Keyboard,8,560
2024-04-26,South,Monitor,2,600
2024-05-02,East,Keyboard,9,630
2024-05-05,West,Mouse,20,500
2024-05-08,North,Laptop,2,2400
2024-05-12,South,Keyboard,6,420
2024-05-15,East,Mouse,12,300
2024-05-20,West,Monitor,6,1800
2024-05-24,North,Keyboard,7,490
2024-05-28,South,Laptop,3,3600
2024-06-03,East,Monitor,5,1500
2024-06-06,West,Laptop,2,2400
2024-06-10,North,Mouse,18,450
2024-06-14,South,Monitor,3,900
2024-06-18,East,Keyboard,8,560
2024-06-22,West,Mouse,15,375
2024-06-27,North,Laptop,3,3600
