id,date,month,region,product,quantity,amount
1,2024-01-05,Jan,North,Laptop,2,2400
2,2024-01-12,Jan,South,Mouse,10,250
3,2024-01-18,Jan,East,Keyboard,5,350
4,2024-02-02,Feb,North,Monitor,3,900
5,2024-02-09,Feb,West,Laptop,1,1200
6,2024-02-21,Feb,South,Keyboard,8,560
7,2024-03-04,Mar,East,Mouse,15,375
8,2024-03-11,Mar,North,Monitor,2,600
9,2024-03-19,Mar,West,Laptop,3,3600
10,2024-03-27,Mar,South,Keyboard,6,420
11,2024-04-01,Apr,East,Monitor,3,900
12,2024-04-15,Apr,North,Mouse,20,500
13,2024-04-22,Apr,West,Keyboard,9,630
14,2024-05-06,May,South,Laptop,2,2400
15,2024-05-14,May,East,Mouse,12,300
16,2024-05-28,May,North,Keyboard,6,420
17,2024-06-03,Jun,West,Monitor,5,1500
18,2024-06-17,Jun,South,Mouse,18,450
19,2024-06-25,Jun,East,Laptop,3,3600
20,2024-07-08,Jul,North,Keyboard,9,630
